+
weight
187
155
I'm not answering this. 
"Not sure, 240"
190
180
137
125
116
110
264
123
185
145
170
135
165
175
195
105
160
167
115
205
""
128
150
140
120
100
113
168
169
200
265
192
118
210
112
144 lbs
130
127
129
260
184
230
138
156
